Unnamed: 0,Affiliate_id,Affiliate_name,Address,City,State,Zip,Country,Website,Phone,Latitude,Longitude,Count_x,Name_x,Overall_percentile_x,Count_y,Name_y,Overall_percentile_y
0,3,CrossFit Persist,"165 Amboy Ave, #705",Morganville,NJ,7751,United States,http://www.crossfitpersist.com/,(732) 687-1050,40.3604,-74.2894,11,Mac McMeans,74.0681,4,Isabelle Mecker,96.8878
1,4,Far North CrossFit,17 Finlayson Street,Whangarei,Northland,110,New Zealand,http://www.farnorthcrossfit.com,021 022 09234,-35.727,174.3274,11,Hayden Wood,91.5726,11,Annalise Wood,91.5911
2,5,CrossFit Dubuque,3080 Cedar Crest Ct.,Dubuque,IA,52003,United States,http://crossfitdubuque.com/,(563) 552-8423,42.4787,-90.7068,12,Josh Connolly,90.2307,4,Brooke Michael,97.7992
3,6,Ballston CrossFit,1110 North Glebe Rd,Arlington,VA,22201,United States,http://www.ballstoncrossfit.com/,(703) 688-2238,38.8838,-77.1172,38,Doug Germano,98.3763,26,Alexandra Germano,97.2477
4,8,CrossFit Moorabbin,16 Coachranes Road,Moorabbin,VIC,3189,Australia,http://www.crossfitmoorabbin.com,+61 (0)418 565 065,-37.9424,145.0619,26,Rob Watt,99.8697,24,Jasmin Wood,99.6358
5,9,CrossFit Bartlesville,3822 SE Kentucky Suite 13-14,Bartlesville,OK,74006,United States,http://www.crossfitbartlesville.com,(918) 350-0120,36.7552,-95.9355,13,Jesse Wright,93.2782,19,Kristin Curd,97.2917
6,10,Armor CrossFit,"880 Macguire Road, Unit B",Ocoee,FL,34761,United States,http://www.armorcrossfit.com/,(407) 614-8997,28.5562,-81.5432,23,Keith Barber,89.6799,10,Paulina Birenbaum,92.9245
7,11,CrossFit 5150,1480 E 28th St,Signal Hill,CA,90755,United States,http://www.crossfit5150.com,(714) 883-2182,33.808,-118.1733,9,Rick Tamayo,78.5181,7,Tina Moses,9.3359
8,12,CrossFit Karlstad,Kolvgatan 1A,Karlstad,Värmlands Län,653 41,Sweden,http://www.crossfitkarlstad.se/,46708282471,59.3896,13.4793,16,William Bergqvist,96.5059,10,Ida Johansson,97.1786
9,14,CrossFit Stolitsa,Butyrskaya 46 Building 1,Moscow,Moscow,119361,Russian Federation,http://cfstolitsa.ru/,79153737403,55.8009,37.5842,18,Aleksandr Plyushkin,99.9649,10,Anna Almazova,99.7255
10,16,CrossFit Bel Air,350 Granary Road,Forest Hill,MD,21050,United States,http://www.crossfitbelair.com/,(443) 271-1675,39.5684,-76.3603,13,Christopher Evering,99.6597,5,Mary Knox,97.901
11,19,CrossFit 603,98 Old Derry Road,Hudson,NH,3051,United States,http://crossfit603.com/,(603) 490-3188,42.8097,-71.413,5,Matt Cooper,91.328,7,Bridget McCartney,81.513
12,22,CrossFit Honor,5519 Willow Way,Orefield,PA,18069,United States,http://www.crossfithonor.com,(610) 248-8050,40.6061,-75.5943,,,,,,
13,23,Reebok CrossFit Stockport,Reebok Ltd. Pepper Rd,Cheshire,England,SK7558,United Kingdom,FALSE,4.47595E+11,53.3779,-2.1412,5,Matt Thompson,97.8484,4,Ellie Carter-Silk,86.9244
14,24,Aliso CrossFit,"6 Journey, Suite 300",Aliso Viejo,CA,92656,United States,http://www.alisocrossfit.com,(949) 215-2220,33.5687,-117.7283,19,Ryan Anderson,97.0881,2,Amy Hardy,3.4773
15,27,Fit Strong United CrossFit,118 North Star Street,Victoria,TX,77904,United States,http://fitstrongunitedcrossfit.com/,(361) 648-6696,28.8382,-97.0047,13,Timothy Jackson,93.5392,17,Jill Zbranek,96.88
16,29,CrossFit Snaga Escazu,"De la antigua rotonda de Multiplaza de Escazú, 300 mts norte.  Bodegas Roca Azul Center #12",Escazu,San Jose,,Costa Rica,http://www.crossfitescazu.com/,(506) 2215-0608,9.9207,-84.1462,27,Francisco Lara,97.2976,7,Arantxa Gonzalez,86.5343
17,31,Sycamore CrossFit,1330 East State Street,Sycamore,IL,60178,United States,http://www.sycamorecrossfit.com/,(815) 375-1010,41.9839,-88.658,7,Eric Wiersema,95.92,5,Rebecca Hopfner,67.0927
18,32,CrossFit Evviva,234 West 6th Ave.,Eugene,OR,97401,United States,http://crossfitevviva.com/,(541) 912-7513,44.053,-123.0963,21,Taylor Lauck,93.788,20,Molly MacGraw,94.7732
19,33,CrossFit Getsome365,"4131 Smith St, Ste C",Bacliff,TX,77518,United States,http://www.CrossFitGetSome365.com,(713) 855-7362,29.5042,-94.9974,5,Christopher Miner,57.0102,,,
20,34,CrossFit Colossus,Unit 1/10 Electra Place,Mornington,TAS,7018,Australia,http://crossfitcolossus.com.au/,61400255351,-42.8581,147.3927,12,Hamish Mcinerney,92.8071,6,Juanita Mayne,95.8909
21,36,CrossFit 416,390 Queens Quay W. Unit 114,Toronto,ON,M5V 3A6,Canada,http://www.crossfit416.ca,(416) 901-0416,43.6379,-79.391,43,Jaime Blott,95.4458,28,Rachel Koo,98.5362
22,37,Repel CrossFit,Zollnerstrasse,Bamberg,Bavaria,96052,Germany,FALSE,049-151-424-17100,,,,,,,,
23,39,CrossFit Giant,250 S Van Brunt St.,Englewood,NJ,7631,United States,http://www.crossfitgiant.com/edgewater/,(201) 212-3258,40.8877,-73.9826,20,J. Rodrigo Agreda,99.5694,10,Natalie Anderson,85.547
24,40,CrossFit North Burlington,1151 Heritage Rd,Burlington,ON,L7L 4Y1,Canada,http://crossfitnorthburlington.ca/,(289) 208-5348,43.3776,-79.7853,5,John Grennan,65.7168,2,Gillian Stovel,37.0923
25,41,CrossFit Mainz,Ober-Saulheimerstr. 24,Wörrstadt,,55286,Germany,http://www.crossfit-mainz.de/,+49 177 797 2025,49.8536,8.1232,3,Eugen WERZ,65.3855,4,Simone Mayer-Krug,71.3624
26,42,CrossFit Hyperion,1983 W. 680 N. #5,Pleasant Grove,UT,84062,United States,http://www.crossfithyperion.com/,(801) 372-0323,40.3711,-111.7686,33,Danny Gunn,97.8813,27,Katrina Rasmussen,99.275
27,43,CrossFit West Dublin,Unit 6C,Celbridge,Co. Dublin,,Ireland,http://www.crossfitwestdublin.com/,(086) 021-7333,53.342,-6.5185,24,Martin Briody,9.7007,9,Catriona Dolan,9.4248
28,44,CrossFit Corpo Forte,7908 88th Ave,Edmonton,AB,T6C1K9,Canada,FALSE,(780) 893-7424,53.5237,-113.4495,4,Greg Plummer,9.1324,7,Sarah Hickey,95.8055
29,49,CrossFit SEO,8470 Windfall Ridge Rd.,Athens,OH,45701,United States,http://www.crossfitseo.com,(740) 591-0735,39.3231,-82.1441,24,Collin Garnek,99.5204,27,Jolene Quirke,99.6297
30,53,Sapper Eagle CrossFit,HHC 326 EN BN,APO,AE,9391,Iraq,FALSE,(845) 857-5325,,,,,,,,
31,54,CrossFit Zachary,3204 Highway 19,Zachary,LA,70791,United States,http://www.crossfitzachary.com/,(225) 255-0815,30.6383,-91.1557,8,Huey Harris,96.1141,1,Cheri Needham,79.307
32,56,CrossFit Pampa,201 N. Wells,Pampa,TX,79065,United States,http://www.crossfitpampa.com/,(806) 662-1264,35.5318,-100.9775,9,Ben Gibson,87.9802,10,Amber Sullivan,60.41
33,57,Be Challenged CrossFit,4795 Us Hwy 96 N Unit 2,Silsbee,TX,77656,United States,http://www.bechallengedcrossfit.com/,(409) 656-4243,30.3571,-94.1258,2,Justin Keene,80.2237,,,
34,58,CrossFit 919,"2500 Meridian Parkway, Suite 125",Durham,NC,27713,United States,http://www.crossfit919.com,(919) 656-4503,35.9114,-78.894,25,Will Meacham,95.0582,6,Jaclyn Espinosa,94.1337
35,59,Helotes CrossFit,12266 Bandera Road #301,Helotes,TX,78023,United States,http://www.helotescrossfit.com/,(210) 618-1997,29.559,-98.6722,18,Mike Trevino,99.2838,9,Sarah Beckwith,98.1565
36,60,Reebok CrossFit Turku,Virusmäentie,Turku,Varsinais-Suomi,20100,Finland,http://www.crossfitturku.fi/,3.58406E+11,60.4664,22.2793,52,Rami Jokela,95.0954,23,Mirka Haapasalo,99.3553
37,65,Reebok CrossFit YUL,78c Brunswick Blvd.,Dollard-Des-Ormeaux,QC,H9B 2C5,Canada,http://reebokcrossfityul.com/,(438) 884-8202,45.4782,-73.8072,27,Maxime Imbeault,98.8782,19,Valérie Boileau,99.0118
38,66,CrossFit Faction,"Harrison Street Unit 5a, Golden Triable Industrial Estate",Widnes,Halton,WA8 8TN,United Kingdom,http://www.crossfitfaction.co.uk/,7923391312,53.355,-2.7677,18,John Reid,96.969,8,Lindsay Morris,99.0394
39,67,Mustang CrossFit,11119 McPherson Rd.,Laredo,TX,78041,United States,FALSE,(956) 764-3200,,,14,Eliseo Guzman,83.0096,5,Cynthia Blackburn,60.9166
40,72,CrossFit Reebok 020,Hoogoorddreef 3,Amsterdam,Amsterdam,1101 BA,Netherlands,http://www.reebokcrossfit020.nl/,(020) 609-0410,52.3102,4.9472,13,Erwin van Beek,97.3252,6,Karin Weijgers,99.2215
41,76,Rock Jungle CrossFit,10247 - 184 Street,Edmonton,AB,T5S2J4,Canada,http://www.rockjunglefitness.com/Rock_Jungle_CrossFit/,(780) 454-7625,53.5452,-113.639,17,Dan Archambault,91.1436,12,Chelsea Wilson,56.5822
42,77,CrossFit 904,"11366 Trade Court, Suite 4",Jacksonville,FL,32256,United States,http://www.crossfit904.com,(904) 866-0558,30.164,-81.5318,14,Lucas Herdliska,99.3344,8,Briana Johnson,87.3819
43,78,CrossFit Blur,8175 E Raintree Dr Suite 2,Scottsdale,AZ,85260,United States,http://www.crossfitblur.com,(715) 495-0086,33.6187,-111.9046,24,Nick Shafer,99.7714,9,Taylor Breese,99.5201
44,80,CrossFit Murray,915 Arcadia Circle,Murray,KY,42071,United States,http://crossfitmurray.blogspot.com/,(270) 761-3809,36.6192,-88.3119,14,Ryan Walker,84.1554,4,Angela McCord,91.3244
45,81,Physics CrossFit,7-3809 St-Joseph Blvd.,Ottawa,ON,K1C 1T1,Canada,http://physicscrossfit.com/,(819) 205-2665,45.4605,-75.5564,16,Francois Leclerc,99.5502,20,Samantha Ball,99.8412
46,82,Range of Motion CrossFit,"2/27 Collingwood Street, Osborne Park",Perth,WA,6017,Australia,http://rangeofmotion.net.au/crossfit,(041) 598-4921,-31.9016,115.8148,21,Bryn Williams,98.8989,20,Helen Harding,99.7445
