Affiliate_id,Count,Name,Overall_percentile
17841,1,Fernando Campos Marcos,93.7583
11921,21,Luis Pimienta,95.7557
6970,59,Felix Figueroa,97.5777
15398,55,Alexandre Boizumault,97.045
12640,60,Iakov filimonov,99.6289
5917,19,Thomas Bott,89.3327
2851,4,Lorenzo Mas Reina,77.1932
13472,7,John Paul Carmona,83.4461
4358,34,Michael Pinelli,94.4521
11803,8,Alexander Frick,85.4074
1270,5,Mick O'Mara,5.2252
16947,11,Dani Soler Borrego,98.5565
14150,14,Hyunsoo KIM,75.9837
14429,27,Josh Boonstra,99.2621
5513,12,Steven Genualdi,94.5797
19330,15,Afeef Husni,91.9235
19839,2,Michael Sauer,9.7337
17871,3,Jonathan Williams,87.4501
10959,14,Joong Hoon Shin,97.1737
3949,20,chad morse,84.6466
11495,1,Glauco Lucena,90.9686
7292,22,Brett Hoffman,95.6021
17164,10,Gareth Wells,79.1561
12262,42,Joseph Ortega,96.6649
12336,28,Israel Moreira,93.6381
10388,52,Uldis Upenieks,99.8915
710,1,David Nall,78.9041
2794,10,Chris Courtney,88.3757
19869,6,Chris Raaymakers,88.6086
14609,25,Tony Sabic,95.4697
2686,14,K. Scott McClelland,99.0786
16889,15,Justin Kim,98.4959
19308,7,John Hammans,91.436
14501,8,Jacob Jackson,89.2753
2893,24,Jack Stocker,96.0147
18434,6,Romain Toinon,83.7566
15587,2,Andrew Hagerman,76.6074
12023,26,Jeffrey Kalo,97.0035
5533,21,Tony Davis,92.2771
12680,15,Michael Titzer,91.6385
9109,3,Stefan Göbl,52.5203
15677,5,Michael Espinoza,78.8866
1401,13,Louis Tobergte,78.9849
13386,45,Cornel Pieterse,95.1932
4814,21,Adam Buice,72.8623
17951,13,Chris Fox,91.7071
20657,8,Brenden Loyer,93.9699
15878,26,Josh Throckmorton,89.7495
9197,14,Nathan Trimmer,95.2863
14210,17,John Hazdovac,99.0659
15078,14,Steve Landry,91.4158
11710,26,Chad Sievers,96.8026
3962,30,Marc Ordeig,99.7262
9126,2,William Mattocks,56.8741
5203,19,Mihkel Keldoja,96.7175
11353,2,Nicolas Schmitt,96.7265
7025,24,Ryan Miller,98.8075
2217,16,Tim Yee,78.1922
3791,14,Matthew Klein,91.0452
17156,21,Colm Judge,96.6223
7281,26,Chris Shimley,99.8809
15942,18,Brian Prochaska,97.7973
1597,16,Jason Babcock,96.1391
99,14,Eric Bland,96.9137
12082,25,Joey Brinton,98.5549
21105,1,Simon Church,10.9278
18113,7,Eric St John,77.0109
15299,13,Matthew Messenger,73.6013
16182,20,Cole Payton,98.6576
4803,5,Jeremy Prince,55.1829
14067,17,Fabien Brumaud,91.898
3183,7,Jesse Montalvo,91.2169
19253,13,Corentin Gardin,74.4493
9707,9,Daniel Guieb,77.0598
13437,9,Thomas Holte,97.2439
738,2,Blake Kemp,81.4896
17430,6,Henrick Pongan,86.1459
7481,2,Niklas Grönroos,24.8792
16866,4,Alan Brinley,77.4867
19840,3,Owen Leech,23.961
19323,6,Marcelo Torezan,58.7711
15047,13,Michal Mička,98.9675
17447,5,Alexandr Zaytsev,94.7243
16754,20,Ash Balfour,92.351
219,25,Ed Friedman,84.2729
942,21,Thomas de Alencar,81.3535
11009,17,Tom Rogers,90.4035
1593,17,Kevin Lamanes,91.2802
19537,3,Kevin Ryan,46.2765
10032,20,Ryan Doughty,87.6968
17003,1,Mitchell Holck,65.5046
19888,14,Brandon Graham,92.015
18582,1,Cedric Dewit,68.7483
14845,3,John Keay,66.3925
5875,5,Kyle Oland,95.1714
10895,1,Jeffrey Cox,62.4433
552,20,Austin Stack,95.2172
14705,1,Pascal Sibbald,54.5502
885,12,Rocky Dean-Shoji,84.4441
13570,15,Tyler Listi,96.6473
4950,30,Matt Zrebiec,94.4021
13967,8,Anthony Mucurio,96.0917
18698,18,Mateus Rech,81.9665
11083,18,Grant Beaird,98.8155
3993,70,Christophe Besnard,99.3737
14253,18,Jacob Pritchet,97.0051
13183,8,Daniel Phillips,83.3818
15029,9,Jeabeom Cho,86.5292
7238,10,Richard Ramirez,9.5125
2627,13,david sposito,87.3799
12787,2,Felipe Carvacho,57.761
12148,11,Adam Hollmeyer,92.6264
10909,14,Loris Viola,95.0327
5391,31,Luke Spencer,98.3731
20462,4,Clint Turnquist,44.018
16150,17,Garth Johnson,91.0819
9507,6,Joe Clark,98.4082
16648,30,Gordon Ip,99.5763
10876,9,Constantin Ciurea,97.934
12655,4,Rubén Insua,99.7905
5451,30,Matthew Michaud,99.6039
19278,1,Thiago Andrade,91.016
16807,10,Tj Brocking,86.8844
13798,7,Brian Woebkenberg,92.2452
5778,18,codey pitts,95.9939
1826,10,Jordan Rensby,84.6721
10450,18,Alex Colarusso,90.907
20637,7,Rudy De Sousa,84.3319
2074,5,Matthew Jester,90.58
10301,17,Ivan Walkling,90.1695
18331,29,Marcelo Simoes,93.787
15287,8,Tsz Yeung Yuen,84.3117
799,21,Jim Pickrel,70.9988
18971,2,Zach Cress,26.9452
4523,13,Scott Mauldin,85.6945
10859,6,Marcus Speck,99.2307
15663,6,Eric Hicks,97.3241
19128,6,Riccardo Grossi,80.8389
11119,9,Alexander Kamargo,93.9683
18576,6,David Lockwood,90.3992
2914,27,Ken Enstrom,99.6034
21258,1,Matt Merritt,30.6132
8950,2,Jed Buce,49.9226
19499,11,Stefano Sfondrini,87.6542
4360,25,Sebastian Medina,99.8283
2948,6,Alex Perez,96.5304
2205,26,Tony Spaleny,99.8543
18411,21,Dom Greco,92.3653
18013,2,Jung Won Yoon,61.7128
1490,5,Marwan Bedrush,98.2673
18632,24,Aaron Levin,94.9955
6009,31,Luke Holmes,99.3684
2302,31,Daniel Holycross,97.6187
2405,3,Troy Stange,77.5877
20687,20,Bryce Jurd,9.513
14886,11,Piotr Kryspin,96.4756
3272,75,Estuardo Penagos,98.6958
17716,1,Nicola Petruzzi,99.8453
6514,14,Ryan Nerenberg,98.4194
18978,13,Cyril Ligneau,95.0805
5527,12,Jonathan Hawkins,99.7198
11975,3,Ryan Vos,54.1036
5602,48,Adam Black,99.2434
5811,33,Tyler Trettin,97.4395
18059,13,Jeffrey Adler,99.9484
17747,17,Jared Frederickson,9.8406
9607,8,Park Sang hyeon,90.2381
14706,5,Menno Venrooy,8.2041
19968,13,Eric Cardona,96.7494
16533,3,Tim Martin,83.788
4470,6,Scott Sterr,85.1432
16829,4,Tyler Houmard,80.06
16802,24,Paolo Manzoni,91.319
16310,8,Kristopher Gonzalez,96.8015
14572,21,Robert Flunker,96.0402
7813,21,Craig Archibald,80.7081
2601,14,Gianni Nicolosi,97.0004
3940,5,Dustin Parks,95.2182
711,1,Michael Chase,33.7069
7725,3,Chris Peratikos,64.4636
7680,23,Jayme Earle,98.3657
5351,21,Zach Casey,99.1563
13623,20,Jeff DerCola,93.7338
9062,5,Mattia Uggè,7.733
1983,5,Josh Wood,77.8121
4783,9,Kevin Manabat,97.6277
4871,20,Clarence Lovett,97.7356
5380,19,Mickael Sarrazin,97.843
14731,11,Seven Gu,92.8789
7951,4,Zach Dillow,78.5607
10191,17,Michael Neville,92.3159
18679,7,Jono Graziosi,99.0696
14906,29,Nathan Moore,99.3025
11737,8,David Madina,94.1225
9565,10,Pete Koumasidis,95.1257
9557,25,Andrew Lilly,90.3817
18641,9,Olof Soldatic,7.8436
6793,7,Sean Johnson,85.6371
20714,2,Tim Burke,49.7493
11845,1,Lorenzo Di Goro,92.688
10196,48,Adam Suhr,98.2258
21143,4,Franco Mattera,49.4069
14238,4,Eric Beavers,71.6592
13429,28,Robby van Laarhoven,81.1419
12475,12,Rafael Guimaraes,97.9877
9097,1,Hai Liu,19.7444
11304,4,Pablo Cabalin,46.7874
5332,63,Dallas Ouano,99.7241
4411,29,Glen Laws,97.0668
8011,7,Jeremy House,80.9048
17146,3,Andreas Kügler,73.7778
17522,19,Colbey Hanson,86.5803
13968,3,Manuel Martinez,7.4023
514,19,Peter Nellis,97.7452
14879,13,Zac Sessa,94.82
6295,24,Joe Brown,98.3157
18877,9,Marsel Shakirov,99.3562
9032,12,Chris Laney,92.8321
8878,9,Adam Helgesen,89.103
13879,15,Simon Ensor,96.6962
13399,32,Austin Tallant,97.8611
13652,15,Dwayne Jones,87.6101
8874,9,Ben Aiken,9.7215
19559,8,Daniel Hershey,96.6447
3693,7,Grant Kovac,88.649
12823,35,Matthew Szenda,92.8964
9755,2,Thomas Larocco,97.3194
12890,3,Scott Barron,91.4918
16996,5,Xavi Vaz,82.9969
14871,8,Michael Dolan,88.9621
18310,3,Arron Jeffcoat,81.0877
6548,13,Peter Nguyen,85.4324
5045,18,Joshua Baldovino,97.6862
6667,18,Cody Anderson,97.3172
5576,14,Erich Reuhs,67.0401
805,38,Bryson Goodman,97.574
