Affiliate_id,Count,Name,Overall_percentile
1270,5,Kristie Petersen,9.7225
11921,7,Narayani Cuevas,95.2151
14997,11,Jess Fleury,95.6216
12640,22,Alexsandra Buzunova,99.5512
5917,10,Helen Chippendale,79.105
19827,17,Kelly Baker,96.6047
13472,4,Olivia Hill,75.2004
4358,23,Jean O'Neill,93.1015
11803,1,Jasmin Fouchard,70.6477
16947,3,Beatriz Allo,93.8273
14150,7,Hyojung Kwak,71.7456
14429,14,Chelsea Nicholas,99.9059
5513,8,Lenette Vierra,80.4661
19330,5,Christine Husni,78.7701
19839,2,Julia Sauer,3.5964
13541,1,Emma Marsans,80.7638
10959,3,Mooyeon Choi,75.6311
3949,18,Stephany Parker,90.2041
7897,1,Leticia Dominguez,80.5938
11495,2,Angélica Vidales,91.043
7292,25,Emily Quan,95.0857
17164,5,Tracy-lee Palframan,43.3746
12262,20,Sally Munguia,95.9669
12336,23,Fernanda Martins,90.9464
2914,19,Ashley Rincon,99.7834
306,14,Amy Fryt,99.042
2794,4,Kelli Moore,82.4537
19869,4,Jackie Raaymakers,68.3718
14609,19,Rachel Gavin,97.7914
13195,1,Eunhyang Lee,0.8769
2686,3,Lauren van de Kamp,96.3121
16889,13,Abigail Morin,97.5394
19308,6,Ariel Gutierrez,91.2778
14501,5,Kathryn Helwig,98.2997
2893,16,Danielle Riordan,96.1326
9442,4,Luciane Araujo,90.1575
12023,17,Mikayla Day,83.2745
5533,25,Nadine Cordivano,88.9043
12680,11,Su Tien Ng,82.6583
9109,6,Doris Reiter,54.3866
15677,1,Halie Dearman,27.5148
1401,9,Meaghan Staudenmaier,91.6429
13386,38,Luzanne Potgieter,74.7689
4814,17,Shelby Hixon,90.079
643,12,Catherine Monzon,9.0036
17951,8,Diane Hope,88.6937
12836,12,Giselle Albuquerque,77.8311
15878,8,Laura Calicutt,96.0083
9197,10,Jennifer Bleeker,86.3229
15078,12,Sarah Keshishian,99.092
11710,18,Jaime Huestis,96.2888
3962,6,Susana Lopez,99.458
9126,4,Sandra Acosta,65.5496
5203,22,Katrin Märss,87.5208
11353,1,Amy George,58.5328
7025,21,Lauren Oakley,99.7411
2217,15,Meggan Griffith,98.8314
3791,7,Elizabeth Tlachac,62.9034
17156,8,Danielle Doyle,90.6693
7281,12,Jessica Michael-Lane,91.163
15942,6,Gentry Hibbard,85.0999
1597,5,Ashton Marchand,81.6295
99,17,Brigett Cleveland,94.8587
12082,14,Cassandra Smith,98.3438
21105,1,Katie Wilkey,36.8852
18113,8,Micaelah McAlpine,7.4923
15299,3,Sarah Thornthwaite,64.3024
16182,11,Kensie Grace,85.6946
4803,7,Patricia Richards,8.1198
14067,6,Yasmina Tanout,90.8739
3183,7,Stevie Holik,96.2758
19253,4,Charlotte Lambert,78.8012
9707,2,Monique Reece,65.7066
11464,12,Kaiya Walker,90.7772
13437,18,Camilla Borgen,96.1904
738,2,Michelle Wood,72.8063
17430,5,Hélène Sueur,70.8946
7481,5,Laura Tahvanainen,89.0183
16866,4,Natasha Smith,92.1029
19840,2,Jene Vosloo,5.7438
15047,5,Veronika Handlova,91.5143
16806,3,Anna Zinga,8.9432
9240,4,Kortney Terry,93.9809
219,23,Sam Palmer,9.9262
14851,2,Fatmata Dorcas Moses,97.1872
942,12,Amanda Norton,99.0213
5496,18,Annie Linebarger,80.1338
1593,15,Amanda Konefal,91.9959
10032,14,Melissa Peterson,78.4033
19888,10,Morgan Hamilton,88.0292
14845,2,Liz Waltman,61.0322
5875,4,Sheila Putman,91.7551
10895,8,Katie Beck,93.4225
552,7,Lu Crenshaw,91.1371
885,1,Mon Corley,33.199
13570,15,Marilyn Rumbaugh,84.6986
4950,24,Morgan Lurz,95.5043
13967,8,Katie Tenefrancia,80.3884
18698,6,Julia Regina Piran,70.0902
11083,28,Jennifer Sanderson,96.2405
3993,18,Jessica Sanki,97.6732
1496,8,Heather Hunter,80.6715
13183,4,Heather Salinas,79.893
15029,6,Nari Lee,63.8614
7238,6,Kristina Thames,83.6266
2627,11,Adrienne Calleja,57.8251
12148,8,Mariela Cruz,67.8281
10909,7,Lea Stühlinger,89.5931
5391,38,Shannon Macgregor,94.4478
20462,4,Becky Turnquist,7.7262
16150,16,Kali Butler,91.5039
9507,2,Madeline Kratchman,96.294
16648,9,Sarina Ruggiero,99.5486
10876,4,Althea Malliaros,92.72
13975,18,Sara Mcbride,94.4254
5451,34,Megan Trombley,93.2439
14589,4,Sarah Saunders,82.988
16807,7,Nicole Williams,87.5001
13798,3,Amy Woebkenberg,76.1541
5778,9,Mariah Provost,92.1521
1826,2,Camille Steele,61.9963
10450,10,Rachel LaRocca,86.9633
13310,3,Tatiana Cavagnolli,92.0373
10301,7,Roxanne Butler,9.5404
18331,24,Andressa La Torre,9.9556
15287,6,Belinda Fong,75.2186
799,10,Laura Schatz,95.2229
4523,1,Kelly Harrington,61.9549
10859,5,Natasha Shackelford,94.8345
18883,1,Nancy Mayhew,73.6642
15663,3,Renee Johnson,95.0822
19128,1,Veronica Filomena Meta,51.9838
11119,3,Bailey Blazina,39.5969
18576,5,Jennifer Leese,83.599
10388,24,Sally Jordan,95.5655
21258,5,Sonia Holzheimer,67.1143
8950,3,Tanya Schlegel,82.9111
19499,4,Serena Pagani,70.7884
2948,3,Alexus Christian,61.2437
2205,24,Jessica Griffith,99.9508
18632,15,Emily Poe,97.5333
6009,12,Alexis Rufus,99.685
2302,27,Tricia Rickman,95.266
2405,3,Sam Wiley,72.2608
20687,11,Renae Gleeson,78.5121
14886,5,Michelle Decruy,97.8207
3272,15,Paola David,98.3912
6514,9,Katelin Hernandez,97.4971
18978,6,Cindy David,91.3658
5527,3,Aerial Burleson,95.1702
11975,1,Anel Forbes,48.4003
5602,36,Audrey March,97.3486
5811,13,Alysia Wisler,99.4994
18059,9,Caroline Lambray,90.6339
17747,8,Sarah Mosley,90.4604
20353,2,Kayla Benedick,8.5695
14706,4,Gabi van der Steen,72.8141
19968,9,Sarah McRae,94.9156
16533,1,Kimberley Whiteside,40.7569
3070,10,Jennie Mann,86.3082
16829,4,Christy Hoffman,77.3409
16802,3,Sara Valetti,84.6321
16310,7,Julie Kaidor,92.3817
14572,12,Tara Roberts,92.0278
7813,7,Kristen Hager,92.3678
2601,9,Amanda Nisula,95.4179
3940,2,Kim Bailey,42.4658
711,4,Alessandra Bisalti,87.7866
19148,3,Anaïs Puyobro,60.2978
7680,16,Lisa Fosnough,85.156
5351,10,Maria Hayden,99.6185
13623,10,Enid Landry,79.2759
1983,7,Cayley Gunn,91.3011
4783,8,Sadie Case,94.0111
12263,23,Abbie Larsen,94.3728
14731,5,Niu Cong,74.428
7951,1,Nyah Namisnak,64.5052
10191,18,Nicole Barnick,86.9408
18679,10,corrin lemieux,99.9482
14906,13,Madi Mansberger,99.2275
4367,2,Adrianna Arintok,87.0418
9565,4,Lexi Forrest,83.3271
9557,17,Luisa Rodrigues,84.2489
6793,5,Dawn Mason,93.0704
10196,29,Rachel Moore,92.833
21143,1,Nicole Loughlin,14.51
14238,3,Ansley Mosier,85.8068
13429,14,Irma van de Huygevoort,91.4262
12475,9,Rosimary Lima,84.6761
5332,39,Liz Tanzola,95.8296
4411,11,Samantha Ivaiti,81.91
8011,3,Tracy Ferrell,65.3088
17522,20,Kayla Twyman,9.789
13968,2,Andrea Hernandez,23.2357
514,9,Catherine Panetta,92.9064
14879,17,Rebecca Johnson,99.6427
6295,15,Rachel Owens,98.0322
18877,2,Daria Kiseleva,98.0356
9032,2,Mary Lawless,57.1001
8878,9,Melissa Nguyen-Alarcon,98.1487
13879,12,Bethany Hill,77.3901
