,Name,Division,OverallRank,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
4925,Emily Bridgers,I-Women,120.0,8.0,354.0,1.0,430.0,8.0,129.0,29.0,266.0,74.0,489.0,8.0
2536,Samantha Briggs,I-Women,30.0,2.0,348.0,2.0,430.0,22.0,158.0,1.0,308.0,4.0,456.0,1.0
264512,Jamie Greene,I-Women,27.0,1.0,347.0,3.0,430.0,12.0,147.0,3.0,305.0,6.0,463.0,3.0
55121,Katrin Tanja Davidsdottir,I-Women,164.0,14.0,345.0,4.0,430.0,9.0,120.0,109.0,282.0,22.0,504.0,20.0
542449,Natalie Newhart,I-Women,,,341.0,5.0,430.0,23.0,129.0,28.0,0.0,0.0,0.0,0.0
18588,Annie Thorisdottir,I-Women,128.0,10.0,340.0,6.0,430.0,21.0,141.0,5.0,304.0,7.0,538.0,89.0
275395,Julie Abildgaard,I-Women,175.0,15.0,338.0,7.0,430.0,30.0,120.0,114.0,318.0,1.0,506.0,23.0
23578,Sarah Scholl,I-Women,328.0,25.0,336.0,8.0,430.0,49.0,129.0,34.0,265.0,75.0,556.0,162.0
143139,Mikaela Norman,I-Women,585.0,52.0,333.0,9.0,425.0,146.0,113.0,390.0,283.0,21.0,503.0,19.0
8404,Camille Leblanc-Bazinet,I-Women,119.0,7.0,330.0,10.0,430.0,4.0,136.0,11.0,263.0,90.0,470.0,4.0
7290,Martina Barbaro,I-Women,476.0,40.0,329.0,11.0,424.0,187.0,116.0,178.0,282.0,23.0,535.0,77.0
50017,Jaime Goodwin,I-Women,1566.0,182.0,328.0,12.0,342.0,918.0,116.0,180.0,248.0,288.0,557.0,168.0
235218,Alethea Boon,I-Women,446.0,38.0,326.0,13.0,423.0,264.0,140.0,6.0,262.0,94.0,531.0,69.0
117591,Caroline Dardini,I-Women,181.0,16.0,325.0,14.0,427.0,86.0,127.0,44.0,277.0,31.0,485.0,6.0
8859,Ragnheiður Sara Sigmundsdottir,I-Women,64.0,4.0,325.0,14.0,430.0,3.0,130.0,22.0,316.0,2.0,506.0,23.0
9994,Becca Chilczenkowski,I-Women,765.0,76.0,322.0,16.0,429.0,63.0,109.0,510.0,257.0,150.0,509.0,26.0
149425,KATIE OSborne,I-Women,15915.0,2373.0,322.0,16.0,341.0,1070.0,83.0,3865.0,185.0,7388.0,723.0,3576.0
208293,Alexis Johnson,I-Women,127.0,9.0,320.0,18.0,430.0,27.0,130.0,24.0,276.0,33.0,507.0,25.0
12336,Kelley Jackson,I-Women,336.0,27.0,320.0,18.0,426.0,111.0,130.0,24.0,257.0,165.0,502.0,18.0
2942,Kara Webb,I-Women,48.0,3.0,319.0,20.0,430.0,1.0,139.0,7.0,289.0,14.0,485.0,6.0
5512,Stacie Tovar,I-Women,136.0,11.0,319.0,20.0,430.0,15.0,134.0,13.0,275.0,35.0,526.0,53.0
3407,Michele Letendre,I-Women,67.0,5.0,318.0,22.0,430.0,10.0,147.0,2.0,279.0,28.0,482.0,5.0
259327,Joey Kimdon,I-Women,573.0,51.0,318.0,22.0,423.0,259.0,129.0,37.0,259.0,127.0,550.0,128.0
9440,Anna Tunnicliffe,I-Women,606.0,56.0,317.0,24.0,424.0,186.0,129.0,31.0,249.0,268.0,539.0,97.0
120480,Kristin Holte,I-Women,161.0,13.0,317.0,24.0,430.0,35.0,131.0,21.0,265.0,79.0,461.0,2.0
206640,Maddy Myers,I-Women,829.0,87.0,314.0,26.0,430.0,7.0,138.0,8.0,236.0,604.0,560.0,184.0
19501,Thuridur Erla Helgadottir,I-Women,524.0,46.0,314.0,26.0,430.0,28.0,121.0,94.0,271.0,47.0,580.0,329.0
51125,Megan Lovegrove,I-Women,709.0,69.0,314.0,26.0,425.0,151.0,119.0,122.0,249.0,282.0,550.0,128.0
134076,Alea Helmick,I-Women,348.0,29.0,313.0,29.0,430.0,20.0,117.0,152.0,271.0,46.0,541.0,101.0
141620,Alex Parker,I-Women,979.0,103.0,313.0,29.0,424.0,192.0,112.0,400.0,251.0,234.0,549.0,124.0
123860,Carlyn Frampton,I-Women,1955.0,246.0,313.0,29.0,344.0,638.0,109.0,505.0,242.0,448.0,581.0,335.0
294332,Brittany Chestnut,I-Women,496.0,43.0,312.0,32.0,425.0,158.0,123.0,79.0,253.0,215.0,492.0,12.0
189706,Chelsey Hughes,I-Women,449.0,39.0,312.0,32.0,430.0,35.0,117.0,150.0,268.0,58.0,558.0,174.0
11279,Talayna Fortunato,I-Women,1166.0,124.0,312.0,32.0,346.0,446.0,128.0,38.0,248.0,295.0,583.0,355.0
128857,Jessica Schwartz,I-Women,1025.0,109.0,312.0,32.0,346.0,454.0,120.0,101.0,259.0,122.0,579.0,316.0
9759,Cheryl Nasso,I-Women,527.0,47.0,311.0,36.0,423.0,258.0,117.0,157.0,289.0,15.0,529.0,61.0
23856,Sheila Barden,I-Women,747.0,73.0,310.0,37.0,423.0,297.0,116.0,176.0,252.0,221.0,499.0,16.0
7716,Lydia Novotny,I-Women,1906.0,235.0,309.0,38.0,346.0,439.0,101.0,1161.0,254.0,194.0,534.0,74.0
