,Name,Division,OverallRank,Rank,Wk1_Score,Wk1_Rank,Wk1A_score,Wk1A_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
124483,Josh Bridges,I-Men,103.0,6.0,365.0,1.0,430.0,6.0,137.0,33.0,280.0,62.0,0.0,0.0,5.0,5.0
2725,Noah Ohlsen,I-Men,41.0,1.0,350.0,2.0,430.0,9.0,140.0,21.0,314.0,5.0,0.0,0.0,5.0,5.0
199938,Jacob Heppner,I-Men,186.0,11.0,350.0,2.0,427.0,70.0,140.0,13.0,276.0,91.0,0.0,0.0,5.0,5.0
173837,Jonne Koski,I-Men,576.0,45.0,349.0,4.0,428.0,44.0,130.0,76.0,262.0,353.0,0.0,0.0,5.0,5.0
2476,Luke Schafer,I-Men,3739.0,431.0,346.0,5.0,423.0,319.0,119.0,820.0,230.0,2416.0,0.0,0.0,5.0,5.0
499296,Andrew Kuechler,I-Men,763.0,63.0,344.0,6.0,425.0,126.0,122.0,576.0,314.0,3.0,0.0,0.0,5.0,5.0
240482,Mitch Wagner,I-Men,1362.0,120.0,340.0,7.0,424.0,187.0,117.0,1059.0,275.0,107.0,0.0,0.0,5.0,5.0
18670,Kyle Frankenfeld,I-Men,97.0,5.0,338.0,8.0,430.0,19.0,146.0,2.0,294.0,16.0,0.0,0.0,5.0,5.0
485312,Zachary Moran,I-Men,554.0,37.0,336.0,9.0,423.0,306.0,135.0,46.0,271.0,155.0,0.0,0.0,5.0,5.0
8356,Paul Tremblay,I-Men,332.0,17.0,331.0,10.0,427.0,92.0,141.0,7.0,267.0,211.0,0.0,0.0,5.0,5.0
18543,Frederik Aegidius,I-Men,440.0,26.0,330.0,11.0,430.0,14.0,128.0,148.0,269.0,187.0,0.0,0.0,5.0,5.0
13375,Jordan Wallace,I-Men,1949.0,215.0,330.0,11.0,341.0,1488.0,125.0,386.0,283.0,51.0,0.0,0.0,5.0,5.0
107101,Brent Fikowski,I-Men,429.0,24.0,329.0,13.0,426.0,97.0,132.0,65.0,295.0,15.0,0.0,0.0,5.0,5.0
7285,Rob Forte,I-Men,167.0,10.0,329.0,13.0,427.0,71.0,131.0,70.0,307.0,7.0,0.0,0.0,5.0,5.0
257325,Samuel Kortes,I-Men,9188.0,1176.0,329.0,13.0,340.0,1839.0,112.0,2623.0,226.0,2829.0,0.0,0.0,5.0,5.0
2559,Steven Fawcett,I-Men,706.0,56.0,327.0,16.0,424.0,191.0,129.0,115.0,269.0,184.0,0.0,0.0,5.0,5.0
1690,Travis Mayer,I-Men,86.0,3.0,326.0,17.0,430.0,21.0,138.0,28.0,314.0,2.0,0.0,0.0,5.0,5.0
111574,Jordan Cook,I-Men,402.0,22.0,326.0,17.0,426.0,98.0,128.0,182.0,284.0,42.0,0.0,0.0,5.0,5.0
