,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
11435,Rich Froning,I-Men,41,1,141,34,98,1,531,1,309,2,161,3
5783,Sean Thomson,I-Men,144,2,142,28,89,79,480,14,290,10,155,13
21343,Kenneth Leverich,I-Men,197,3,139,58,91,10,451,55,269,50,152,24
47661,Dan Bailey,I-Men,251,4,138,74,95,4,518,3,265,159,156,11
42803,Orlando Trejo,I-Men,272,5,139,58,90,19,432,122,270,43,148,30
24156,Neal Maddox,I-Men,296,6,132,266,97,3,470,21,323,1,158,5
5541,Thomas Hooton,I-Men,302,7,139,58,88,95,463,30,267,85,147,34
11644,Joey Warren,I-Men,303,8,136,108,90,19,441,84,267,85,157,7
11337,Brandon Pastorek,I-Men,369,9,132,266,90,19,466,27,269,50,157,7
12485,Jason Khalipa,I-Men,373,10,131,326,94,5,459,35,297,3,159,4
1819,Justin Allen,I-Men,463,11,132,266,88,95,448,60,280,21,153,21
49510,Albert-Dominic Larouche,I-Men,549,12,137,93,84,239,452,50,276,29,139,138
31660,Jon Pera,I-Men,555,13,132,266,90,19,453,47,267,85,139,138
29334,Jarett Perelmutter,I-Men,588,14,147,8,80,566,509,4,297,3,157,7
9241,Chase Daniels,I-Men,588,14,131,326,87,111,496,7,293,6,139,138
5200,Pat Barber,I-Men,630,16,133,215,84,239,438,96,277,25,145,55
5312,Nick Urankar,I-Men,656,17,132,266,88,95,436,102,265,159,147,34
66405,Mike Mckenna,I-Men,677,18,139,58,82,372,457,43,283,15,137,189
8067,Brandon Phillips,I-Men,694,19,130,396,90,19,439,91,265,159,149,29
9611,Peter D'Amore,I-Men,697,20,138,74,81,448,447,64,270,43,143,68
42206,Kevin Simons,I-Men,739,21,138,74,86,145,439,91,261,412,154,17
11424,Nick Fory,I-Men,761,22,139,58,81,448,423,178,270,43,147,34
67386,Travis Page,I-Men,792,23,154,4,79,695,523,2,273,32,144,59
43761,Ben Smith,I-Men,822,24,128,566,85,184,482,12,287,11,146,49
23758,David Charbonneau,I-Men,837,25,135,136,84,239,409,314,269,50,141,98
